codDaneDpto;Dpto;codDaneMunicipio;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;codCultivo;nombreCientificoCultivo;estadoFisicoCultivo
15;Boyacá;15001;Tunja;Fresa;Fresa;Permanente;Frutales;Demas frutales;2019;C;3;3;30;10;2042700;Fragaria vesca;En fresco
15;Boyacá;15001;Tunja;Avena;Avena;Transitorio;Cereales;Cereales;2019;A;160;160;480;3;1010200;Avena sativa;En fresco
15;Boyacá;15001;Tunja;Cebada;Cebada;Transitorio;Cereales;Cereales;2019;A;20;20;60;3;1010300;Hordeum vulgare;En fresco
15;Boyacá;15001;Tunja;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;180;180;360;2;1010497;Zea mays;En fresco
15;Boyacá;15001;Tunja;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;120;120;2400;20;1051100;Allium cepa;En fresco
15;Boyacá;15001;Tunja;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;300;300;6000;20;1053000;Daucus carota;En fresco
15;Boyacá;15001;Tunja;Arracacha;Arracacha;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;170;170;2550;15;1080200;Arracacia xanthorrhiza;En fresco
15;Boyacá;15001;Tunja;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;2600;2600;52000;20;1080701;Solanum tuberosum;En fresco
15;Boyacá;15001;Tunja;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;80;80;800;10;1080702;Solanum tuberosum;En fresco
15;Boyacá;15001;Tunja;Avena;Avena;Transitorio;Cereales;Cereales;2019;B;100;100;300;3;1010200;Avena sativa;En fresco
15;Boyacá;15001;Tunja;Cebada;Cebada;Transitorio;Cereales;Cereales;2019;B;15;15;45;3;1010300;Hordeum vulgare;En fresco
15;Boyacá;15001;Tunja;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;100;100;2000;20;1051100;Allium cepa;En fresco
15;Boyacá;15001;Tunja;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;300;300;6000;20;1053000;Daucus carota;En fresco
15;Boyacá;15001;Tunja;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;2000;2000;40000;20;1080701;Solanum tuberosum;En fresco
15;Boyacá;15001;Tunja;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;50;50;500;10;1080702;Solanum tuberosum;En fresco
15;Boyacá;15022;Almeida;Granadilla;Granadilla;Permanente;Frutales;Pasifloráceas;2019;C;2;0;0;0;2042800;Passiflora ligularis.;En fresco
15;Boyacá;15022;Almeida;Lulo;Lulo;Permanente;Frutales;Solanáceas;2019;C;16;8;180;22,5;2043700;Solanum quitoense Lam;En fresco
15;Boyacá;15022;Almeida;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;60;58;87;1,5;1010497;Zea mays;En fresco
15;Boyacá;15022;Almeida;Guatila;Guatila;Transitorio;Hortalizas;Hortalizas de Futo;2019;A;1;1;20;20;1051800;Sechium edule;En fresco
15;Boyacá;15022;Almeida;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;A;2;2;136;68;1052902;Lycopersicon esculentum;En fresco
15;Boyacá;15022;Almeida;Arracacha;Arracacha;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;7;6;30;5;1080200;Arracacia xanthorrhiza;En fresco
15;Boyacá;15022;Almeida;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;5;5;35;7;1080701;Solanum tuberosum;En fresco
15;Boyacá;15022;Almeida;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;2;2;8;4;1080702;Solanum tuberosum;En fresco
15;Boyacá;15022;Almeida;Yuca consumo en fresco;Yuca;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;25;10;110;11;1081001;Manihot esculenta;En fresco
15;Boyacá;15022;Almeida;Guatila;Guatila;Transitorio;Hortalizas;Hortalizas de Futo;2019;B;0;0;0;0;1051800;Sechium edule;En fresco
15;Boyacá;15022;Almeida;Pepino Guiso;Pepino Guiso;Transitorio;Hortalizas;Hortalizas de Futo;2019;B;5;5;70;14;1052400;Cyclanthera pedata;En fresco
15;Boyacá;15022;Almeida;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;B;3;3;210;70;1052902;Lycopersicon esculentum;En fresco
15;Boyacá;15022;Almeida;Arracacha;Arracacha;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;4;3;21;7;1080200;Arracacia xanthorrhiza;En fresco
15;Boyacá;15022;Almeida;Yuca consumo en fresco;Yuca;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;15;12;168;14;1081001;Manihot esculenta;En fresco
15;Boyacá;15047;Aquitania;Fresa;Fresa;Permanente;Frutales;Demas frutales;2019;C;3;2;72;36;2042700;Fragaria vesca;En fresco
15;Boyacá;15047;Aquitania;Gulupa o cholupa;Gulupa o cholupa;Permanente;Frutales;Pasifloráceas;2019;C;1;1;20;20;2043100;Passiflora edulis Sims fo. Edulis;En fresco
15;Boyacá;15047;Aquitania;Uchuva;Uchuva;Permanente;Frutales;Solanáceas;2019;C;1;1;15;15;2046500;Physalis peruviana L.;En fresco
15;Boyacá;15047;Aquitania;Cebolla De Rama;Cebolla De Rama;Transitorio;Hortalizas;Hortalizas de Tallo;2019;A;1400;1350;54000;40;1051200;Allium fistulosum;En fresco
15;Boyacá;15047;Aquitania;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;300;250;6500;26;1080701;Solanum tuberosum;En fresco
15;Boyacá;15047;Aquitania;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;35;30;240;8;1080702;Solanum tuberosum;En fresco
15;Boyacá;15047;Aquitania;Cebolla De Rama;Cebolla De Rama;Transitorio;Hortalizas;Hortalizas de Tallo;2019;B;1400;1400;53200;38;1051200;Allium fistulosum;En fresco
15;Boyacá;15047;Aquitania;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;80;60;1500;25;1080701;Solanum tuberosum;En fresco
15;Boyacá;15047;Aquitania;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;30;25;200;8;1080702;Solanum tuberosum;En fresco
15;Boyacá;15051;Arcabuco;Arándano;Arándano;Permanente;Frutales;Demas frutales;2019;C;12;6;54;9;2040400;Vaccinium corymbosum;En fresco
15;Boyacá;15051;Arcabuco;Fresa;Fresa;Permanente;Frutales;Demas frutales;2019;C;20;15;300;20;2042700;Fragaria vesca;En fresco
