Dpto;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;nombreCientificoCultivo;estadoFisicoCultivo
Boyacá;Tunja;Fresa;Fresa;Permanente;Frutales;Demas frutales;2019;C;3.0;3.0;30.0;10.0;Fragaria vesca;En fresco
Boyacá;Tunja;Avena;Avena;Transitorio;Cereales;Cereales;2019;A;160.0;160.0;480.0;3.0;Avena sativa;En fresco
Boyacá;Tunja;Cebada;Cebada;Transitorio;Cereales;Cereales;2019;A;20.0;20.0;60.0;3.0;Hordeum vulgare;En fresco
Boyacá;Tunja;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;180.0;180.0;360.0;2.0;Zea mays;En fresco
Boyacá;Tunja;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;120.0;120.0;2400.0;20.0;Allium cepa;En fresco
Boyacá;Tunja;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;300.0;300.0;6000.0;20.0;Daucus carota;En fresco
Boyacá;Tunja;Arracacha;Arracacha;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;170.0;170.0;2550.0;15.0;Arracacia xanthorrhiza;En fresco
Boyacá;Tunja;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;2600.0;2600.0;52000.0;20.0;Solanum tuberosum;En fresco
Boyacá;Tunja;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;80.0;80.0;800.0;10.0;Solanum tuberosum;En fresco
Boyacá;Tunja;Avena;Avena;Transitorio;Cereales;Cereales;2019;B;100.0;100.0;300.0;3.0;Avena sativa;En fresco
Boyacá;Tunja;Cebada;Cebada;Transitorio;Cereales;Cereales;2019;B;15.0;15.0;45.0;3.0;Hordeum vulgare;En fresco
Boyacá;Tunja;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;100.0;100.0;2000.0;20.0;Allium cepa;En fresco
