Cultivo;grupoCultivo;areaSembradaHa;produccionTon;rendimientoTonHa;grupoCultivoOrd;EstadoFinalOrd;PeriodoOrd;CicloOrd;CultivoFre
Fresa;Frutales;3.0;30.0;10.0;1;0;2;1;223
Avena;Cereales;160.0;480.0;3.0;5;0;0;0;88
Cebada;Cereales;20.0;60.0;3.0;5;0;0;0;186
Maíz;Cereales;180.0;360.0;2.0;5;0;0;0;1624
Cebolla De Bulbo;Hortalizas;120.0;2400.0;20.0;2;0;0;0;541
Zanahoria;Hortalizas;300.0;6000.0;20.0;2;0;0;0;394
Arracacha;Raíces y Tubérculos;170.0;2550.0;15.0;4;0;0;0;326
Papa;Raíces y Tubérculos;2600.0;52000.0;20.0;4;0;0;0;1585
Papa;Raíces y Tubérculos;80.0;800.0;10.0;4;0;0;0;1585
Avena;Cereales;100.0;300.0;3.0;5;0;1;0;88
Cebada;Cereales;15.0;45.0;3.0;5;0;1;0;186
Cebolla De Bulbo;Hortalizas;100.0;2000.0;20.0;2;0;1;0;541
Zanahoria;Hortalizas;300.0;6000.0;20.0;2;0;1;0;394
Papa;Raíces y Tubérculos;2000.0;40000.0;20.0;4;0;1;0;1585
Papa;Raíces y Tubérculos;50.0;500.0;10.0;4;0;1;0;1585
Granadilla;Frutales;2.0;0.0;0.0;1;0;2;1;131
Lulo;Frutales;16.0;180.0;22.5;1;0;2;1;223
Maíz;Cereales;60.0;87.0;1.5;5;0;0;0;1624
Guatila;Hortalizas;1.0;20.0;20.0;2;0;0;0;31
Tomate;Hortalizas;2.0;136.0;68.0;2;0;0;0;850
Arracacha;Raíces y Tubérculos;7.0;30.0;5.0;4;0;0;0;326
Papa;Raíces y Tubérculos;5.0;35.0;7.0;4;0;0;0;1585
Papa;Raíces y Tubérculos;2.0;8.0;4.0;4;0;0;0;1585
Yuca;Raíces y Tubérculos;25.0;110.0;11.0;4;0;0;0;602
Guatila;Hortalizas;0.0;0.0;0.0;2;0;1;0;31
Pepino Guiso;Hortalizas;5.0;70.0;14.0;2;0;1;0;137
Tomate;Hortalizas;3.0;210.0;70.0;2;0;1;0;850
Arracacha;Raíces y Tubérculos;4.0;21.0;7.0;4;0;1;0;326
Yuca;Raíces y Tubérculos;15.0;168.0;14.0;4;0;1;0;602
Fresa;Frutales;3.0;72.0;36.0;1;0;2;1;223
Gulupa o cholupa;Frutales;1.0;20.0;20.0;1;0;2;1;133
Uchuva;Frutales;1.0;15.0;15.0;1;0;2;1;192
Cebolla De Rama;Hortalizas;1400.0;54000.0;40.0;2;0;0;0;75
Papa;Raíces y Tubérculos;300.0;6500.0;26.0;4;0;0;0;1585
Papa;Raíces y Tubérculos;35.0;240.0;8.0;4;0;0;0;1585
